Label,Bytes,Starts (JP),Japanese,English,Draft,Notes
SilentLabP1TextString13,121,"text
line

para
line

para
line

para
line

para
line
cont
cont
done","オーキド『<⋯⋯>　おっほんッ！
よくやったな　<PLAYER>！

ちょっと
わしに　ついて　きなさい！

<RIVAL>は　すまんが
そこで　まっていなさい！

<RIVAL>『えー！
なんだよ　ケチー！

オーキド『<RIVAL>は
でんせつの　#が
ほしかった　だけじゃないのか？
<RIVAL>『ギクッ！
","OAK: …Oho! Well
done, <PLAYER>!

Come with me for
just a moment.

Sorry, <RIVAL>,
but you'll have
to wait there.

<RIVAL>: Whaaat!
C'mon, me too!

OAK: <RIVAL>,
you were just
after the
legendary
#MON, weren't
you?

<RIVAL>: Urk! ",,
SilentLabP1TextString14,55,"text
line
cont
cont
cont
done","<RIVAL>『なんだ
<PLAYER>じゃないか！
おれも　ここが
あやしいと　おもって　きたんだけど
だれも　いないみたいだな<⋯⋯>
","<RIVAL>: Well, if
it isn't <PLAYER>!
I thought this
place looked
suspicious too,
but it looks like
nobody's here… ",,
SilentLabP1TextString15,25,"text
line
done","<RIVAL>『よっしゃあ！
じいさん！　おれにまかせな！
","<RIVAL>: Alright!
Leave it to me,
old man!",,
SilentLabP1TextString16,44,"text
line
cont
done","<RIVAL>『おれが　えらんだ
#のほうが　つよそうだぜ！
こっちに　したかったんじゃないの？
","<RIVAL>: My
#MON looks
stronger!
Sure you didn't
want this one?",,
SilentLabP1TextString17,48,"text
line
cont
cont
cont
done","<RIVAL>『<PLAYER>！
せっかく　じいさんに
#　もらったんだから
<⋯⋯>　ちょっと
たたかわせて　みようぜ！
","<RIVAL>: Hey,
<PLAYER>, since
we just got these
#MON and all…

Let's try 'em out
in a battle!",,
SilentLabP1TextString18,26,"text
line
done","<RIVAL>『くっそー！
こんどは　ぜったい　まけないぞ！
","<RIVAL>: Darn it!
I won't lose
next time!",,
SilentLabP1TextString19,49,"text
line
cont

para
done","<RIVAL>『よーし！
ほかの　#と　たたかわせて
もっと　もっと　つよくしよう！

そんじゃ　ばいばい！
","<RIVAL>: Okay!
I'll make my
#MON fight to
toughen it up!

<PLAYER>! Old man!
See ya later!",,
SilentLabP1TextString20,17,"text
line
done","じいちゃん！
つれてきたよー！
","Gramps!
Look who I found!",,
SilentLabP1TextString21,228,"text
line
cont
cont
cont
cont
cont

para
line
cont
cont
cont

para
line

para
line
cont
cont
done","ぼくは　かつて
#トレーナーの　ちょうてんを
めざしたことが　あるんだ
そのとき　いいきに　なっていた
ぼくの　てんぐのはなを
へしおった　やつに
きみは　どことなく　にている

あいつの　おかげで　ぼくは
こころを　いれかえて
じいさんの　けんきゅうを
てつだうように　なったのさ
<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>

さあ！
これが　#ずかんだ！

みつけた　#の　データが
じどうてきに　かきこまれて
ぺージが　ふえて　いく　という
とても　ハイテクな　ずかん　だよ！
","I used to want to
be the world's best
#MON trainer.
When I got too
arrogant, there
was one who showed
me humility.
Somehow… you
remind me of him.

Thanks to him, I
was able to mend
my ways.
Since, I've started
helping my grandpa
with his research.
…
…

Right! This here's
the #DEX!

It automatically
records data on
POKéMON you've
seen or caught!",,
SilentLabP1TextString22,36,"text
line
cont
done","ぼくも　むかし　やったけど
なかなか　たいへんだよ<⋯⋯>
がんばってね！
","I did the same
work you did long
ago, but it's real
hard… Good luck!",,
SilentLabP1TextString23,477,"text
line
cont
cont

para
line

para
cont
cont
cont
cont
cont
cont

para
line

para
line

para
line

para
line
cont
cont
cont
cont

para
line
cont
cont

para
line
cont
cont
cont

para
line
done","ナナミ『さっき　あなたを　
つれてきた　わかい　おとこのこ<⋯⋯>
あれは　わたしの　おとうとなの
<⋯⋯>ということは　つまり

そう！
わたしも　オーキドの　まご　なの！

おじいちゃんは　りっぱな
#けんきゅうしゃよ
わたしは　おてつだい　できることが
とっても　うれしいの！
あっ　こんなこと　しられたら
おじいちゃん　ちょうしに　のるから
ないしょに　しておいてね！

<⋯⋯>おじいちゃん　すっかり
わすれている　みたいだから

わたしが　かわりに　これを　あげる！
さいしんがた　#りュックよ

<PLAYER>は
#りュックを　もらった！

ナナミ『この　りュックには
モンスターボールを
まとめて　いれられる
ボールホルダと
わざマシンを　まとめて　いれられる
わざマシンホルダが　ついているの

モンスターボール　６こと　
わざマシンひとつは　オマケしておくわ
ホルダに　なんにも　はいってないと
さびしいもんね！

ねえ　<PLAYER>くン
あなたの　おかあさんが
しんぱいすると　いけないから
このまちを　でるまえに
かおを　みせに　いってあげてね

<⋯⋯>あなたの　かつやく
いのっているわ
","DAISY: The young
boy who brought
you here… That's
my little brother.
In other words…

I'm PROF.OAK's
granddaughter!

Grandpa's a
fantastic
researcher! I'm so
happy I get to
help out. Oh, but
grandpa would get
full of himself
if he heard that,
so don't tell him!

…Grandpa seems to
have completely
forgotten, so…

I guess I'll give
this to you! It's
the newest model
of #PACK!

<PLAYER> received
a #PACK!

DAISY: This PACK
comes with a BALL
HOLDER for #
BALLs, and a TM
HOLDER for TMs!

I'll throw in six
# BALLs and a TM
as a freebie!

<PLAYER>, we can't
have your mother
worrying, so
before you leave
town, make sure
to say goodbye.

I'll be rooting
for you!",,
SilentLabP1TextString24,19,"text
line
done","<⋯⋯>あなたの　かつやく
いのってるわ
","I'll be rooting
for you!",,
SilentLabP1TextString25,83,"text
line

para
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

わたしは　もちろん
はかせを　ソンケー　しております

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I am one of PROF.
OAK's AIDEs.

Of course,
I respect the
professor greatly.

I have a feeling
that we'll see
each other again.
",,
SilentLabP1TextString26,83,"text
line

para
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

わたしは　もちろん
はかせを　ソンケー　しております

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I am one of PROF.
OAK's AIDEs.

Of course,
I respect the
professor greatly.

I have a feeling
that we'll see
each other again.
",,
SilentLabP1TextString27,21,"text
line
done","なんだろう？
でんし　てちょう　かな？
","What's this…?
Some sort of PDA?",,
SilentLabP1TextString28,66,"text
line

para
line
cont
done","<RIVAL>『あのメールを　くれた
オーキドって　こんな　じじい<⋯⋯>

あっ　ゴメン
こんな　じいさん　なのか？
ほんもの　はじめて　みたよ！
","<RIVAL>: I can't
believe this old
geezer is
PROF.OAK…

Oh, sorry, I mean…
""old man""? It's
the first time I
see him in person!",,
SilentLabP1TextString29,25,"text
line
cont
done","<RIVAL>『<PLAYER>！
なんだか
おもしろく　なってきたな！
","<RIVAL>: Hey
<PLAYER>!
This just got
interesting!",,
SilentLabP1TextString30,56,"text
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I'm one of PROF.
OAK's AIDEs.

I have a feeling
that we'll see
each other again.",,
SilentLabP1TextString31,56,"text
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I'm one of PROF.
OAK's AIDEs.

I have a feeling
that we'll see
each other again.",,
